ID,School,RouteNumber,SafePassage
610263,DULLES,1,"<MultiGeometry><LineString><coordinates>-87.620418,41.780116,0.0 -87.620607,41.780088,0.0 -87.62084,41.780065,0.0 -87.621069,41.780055,0.0 -87.621509,41.780049,0.0 -87.621764,41.780048,0.0 -87.621981,41.780043,0.0 -87.622205,41.780039,0.0 -87.622486,41.780034,0.0 -87.622935,41.780027,0.0 -87.623275,41.780022,0.0 -87.623548,41.780019,0.0 -87.623704,41.78002,0.0</coordinates></LineString><LineString><coordinates>-87.615628,41.780247,0.0 -87.61564,41.780247,0.0 -87.616279,41.780234,0.0 -87.616405,41.780233,0.0 -87.616441,41.780232,0.0 -87.616746,41.780227,0.0 -87.616963,41.780223,0.0 -87.617183,41.780219,0.0 -87.617593,41.780211,0.0 -87.617841,41.780206,0.0 -87.61788,41.780205,0.0 -87.618076,41.780202,0.0 -87.618103,41.780201,0.0 -87.618104,41.780201,0.0 -87.61813,41.780201,0.0 -87.618439,41.780195,0.0 -87.618861,41.780189,0.0 -87.619252,41.780184,0.0 -87.619484,41.78018,0.0 -87.619709,41.780176,0.0 -87.619998,41.780167,0.0 -87.620107,41.780162,0.0 -87.620418,41.780116,0.0</coordinates></LineString><LineString><coordinates>-87.620456,41.780312,0.0 -87.620456,41.780312,0.0 -87.620418,41.780116,0.0</coordinates></LineString><LineString><coordinates>-87.620542,41.782559,0.0 -87.620629,41.782223,0.0 -87.620628,41.781933,0.0 -87.620627,41.781917,0.0 -87.620624,41.781766,0.0 -87.62062,41.781587,0.0 -87.620616,41.78143,0.0 -87.620611,41.781273,0.0 -87.620607,41.781116,0.0 -87.620599,41.780873,0.0 -87.620592,41.78068,0.0 -87.620587,41.780552,0.0 -87.620574,41.780522,0.0 -87.620544,41.780469,0.0 -87.620523,41.780442,0.0 -87.620456,41.780312,0.0</coordinates></LineString><LineString><coordinates>-87.620542,41.782559,0.0 -87.620542,41.782555,0.0 -87.62043,41.78222,0.0 -87.620418,41.781966,0.0 -87.620417,41.781935,0.0 -87.620413,41.781789,0.0 -87.620408,41.781614,0.0 -87.620404,41.78144,0.0 -87.6204,41.781243,0.0 -87.620397,41.781074,0.0 -87.620393,41.780861,0.0 -87.620385,41.780554,0.0 -87.620393,41.780493,0.0 -87.620413,41.780429,0.0 -87.620456,41.780312,0.0</coordinates></LineString><LineString><coordinates>-87.617301,41.783864,0.0 -87.617741,41.783856,0.0 -87.618027,41.783851,0.0 -87.618031,41.783851,0.0 -87.618114,41.78385,0.0 -87.61814,41.783849,0.0 -87.618338,41.783846,0.0 -87.61867,41.78384,0.0 -87.618951,41.783835,0.0 -87.619163,41.783832,0.0 -87.619473,41.783827,0.0 -87.619632,41.783824,0.0 -87.619729,41.783823,0.0 -87.619993,41.783819,0.0 -87.620295,41.783814,0.0 -87.620569,41.783808,0.0 -87.620562,41.783602,0.0 -87.620559,41.783358,0.0 -87.620558,41.783316,0.0 -87.620556,41.783179,0.0 -87.620553,41.782976,0.0 -87.620547,41.782745,0.0 -87.620542,41.782559,0.0</coordinates></LineString></MultiGeometry>"
609919,FISKE,2,"<MultiGeometry><LineString><coordinates>-87.606015,41.784065,0.0 -87.606009,41.783815,0.0 -87.606006,41.783617,0.0 -87.606001,41.78337,0.0 -87.605992,41.783041,0.0 -87.605985,41.782792,0.0 -87.605979,41.782523,0.0 -87.605974,41.782241,0.0 -87.605751,41.782243,0.0 -87.605475,41.782247,0.0 -87.605295,41.782249,0.0 -87.605211,41.78225,0.0 -87.604916,41.782253,0.0 -87.604614,41.782257,0.0 -87.604428,41.782254,0.0 -87.604353,41.782272,0.0</coordinates></LineString><LineString><coordinates>-87.61089,41.783977,0.0 -87.610664,41.783981,0.0 -87.610323,41.783987,0.0 -87.610265,41.783988,0.0 -87.610159,41.78399,0.0 -87.609889,41.783995,0.0 -87.609677,41.783999,0.0 -87.609384,41.784005,0.0 -87.609078,41.784009,0.0 -87.609066,41.784009,0.0 -87.60888,41.784012,0.0 -87.608749,41.784014,0.0 -87.608488,41.784019,0.0</coordinates></LineString><LineString><coordinates>-87.608545,41.785837,0.0 -87.608532,41.785327,0.0 -87.608524,41.784996,0.0 -87.608522,41.78491,0.0 -87.608519,41.784794,0.0 -87.608517,41.784744,0.0 -87.608515,41.784629,0.0 -87.608513,41.784518,0.0 -87.60851,41.784362,0.0 -87.608508,41.78421,0.0 -87.608512,41.784077,0.0 -87.608488,41.784019,0.0</coordinates></LineString><LineString><coordinates>-87.608488,41.784019,0.0 -87.60826,41.784023,0.0 -87.608073,41.784026,0.0 -87.607872,41.78403,0.0 -87.607856,41.78403,0.0 -87.607639,41.784034,0.0 -87.607531,41.784037,0.0 -87.607347,41.78404,0.0 -87.607271,41.784041,0.0 -87.607132,41.784043,0.0 -87.606913,41.784048,0.0 -87.606758,41.784052,0.0 -87.606666,41.784053,0.0 -87.60655,41.784056,0.0 -87.606431,41.784058,0.0 -87.606411,41.784058,0.0 -87.606015,41.784065,0.0</coordinates></LineString><LineString><coordinates>-87.599532,41.784139,0.0 -87.599782,41.784137,0.0 -87.6001,41.784133,0.0 -87.600328,41.784131,0.0 -87.600344,41.784131,0.0 -87.60065,41.784127,0.0 -87.601154,41.784119,0.0 -87.601307,41.784117,0.0 -87.6017,41.784114,0.0 -87.601964,41.784111,0.0 -87.60198,41.784111,0.0 -87.602291,41.784108,0.0 -87.602554,41.784105,0.0 -87.602775,41.784102,0.0 -87.603125,41.784097,0.0 -87.603374,41.784095,0.0 -87.603582,41.784094,0.0 -87.603591,41.784094,0.0 -87.603825,41.784092,0.0 -87.604127,41.784088,0.0 -87.604392,41.784085,0.0 -87.604833,41.784081,0.0 -87.60509,41.784079,0.0 -87.605335,41.784076,0.0 -87.605363,41.784075,0.0 -87.605602,41.784073,0.0 -87.606015,41.784065,0.0</coordinates></LineString><LineString><coordinates>-87.606043,41.785882,0.0 -87.606045,41.785561,0.0 -87.606041,41.785259,0.0 -87.606041,41.785245,0.0 -87.606037,41.785032,0.0 -87.606033,41.784779,0.0 -87.606032,41.784729,0.0 -87.606026,41.784501,0.0 -87.606021,41.784309,0.0 -87.606015,41.784065,0.0</coordinates></LineString></MultiGeometry>"
609943,OWENS,3,"<LineString><coordinates>-87.622503,41.672563,0.0 -87.6225,41.672385,0.0 -87.622497,41.672259,0.0 -87.622488,41.672019,0.0 -87.622479,41.671804,0.0 -87.622475,41.671653,0.0 -87.62247,41.671477,0.0 -87.622461,41.671199,0.0 -87.622458,41.67111,0.0 -87.622452,41.670908,0.0 -87.622446,41.670741,0.0 -87.622439,41.670552,0.0 -87.622432,41.670415,0.0 -87.622415,41.670075,0.0 -87.622404,41.669861,0.0 -87.622393,41.669647,0.0 -87.622386,41.669495,0.0 -87.622376,41.669306,0.0 -87.622368,41.669154,0.0 -87.622363,41.669041,0.0 -87.622356,41.668927,0.0 -87.622348,41.668775,0.0 -87.622338,41.668561,0.0 -87.62233,41.668384,0.0 -87.622323,41.668247,0.0 -87.622315,41.668072,0.0 -87.622303,41.667804,0.0 -87.622298,41.667707,0.0 -87.622298,41.667702,0.0 -87.622294,41.667608,0.0 -87.622279,41.66733,0.0 -87.622272,41.667122,0.0 -87.622267,41.666981,0.0 -87.622259,41.666809,0.0 -87.622252,41.666663,0.0 -87.622244,41.66651,0.0 -87.622237,41.666354,0.0 -87.622229,41.666166,0.0 -87.622223,41.666052,0.0 -87.622215,41.665893,0.0 -87.622214,41.665867,0.0 -87.622204,41.665671,0.0 -87.62219,41.66543,0.0</coordinates></LineString>"
610173,SHERWOOD,4,"<MultiGeometry><LineString><coordinates>-87.632995,41.79417,0.0 -87.632993,41.794036,0.0 -87.632983,41.793704,0.0 -87.632978,41.793532,0.0 -87.632965,41.793047,0.0 -87.632953,41.792585,0.0 -87.632951,41.79251,0.0 -87.63293,41.791806,0.0 -87.632921,41.791486,0.0 -87.632907,41.790989,0.0 -87.632905,41.790885,0.0 -87.632896,41.790525,0.0 -87.632877,41.789812,0.0 -87.632863,41.78929,0.0 -87.632855,41.788963,0.0 -87.632853,41.788856,0.0</coordinates></LineString><LineString><coordinates>-87.633004,41.794522,0.0 -87.632998,41.794354,0.0 -87.632995,41.79417,0.0</coordinates></LineString><LineString><coordinates>-87.634157,41.79415,0.0 -87.634024,41.794152,0.0 -87.633821,41.794156,0.0 -87.633661,41.794159,0.0 -87.633574,41.794161,0.0 -87.633267,41.794169,0.0 -87.632995,41.79417,0.0</coordinates></LineString><LineString><coordinates>-87.634218,41.794507,0.0 -87.634034,41.79451,0.0 -87.633817,41.794513,0.0 -87.633637,41.794515,0.0 -87.633571,41.794516,0.0 -87.6332,41.794518,0.0 -87.633004,41.794522,0.0</coordinates></LineString><LineString><coordinates>-87.629551,41.794228,0.0 -87.62976,41.794224,0.0 -87.630261,41.794213,0.0 -87.630524,41.794208,0.0 -87.630669,41.794206,0.0 -87.630765,41.794204,0.0 -87.630963,41.7942,0.0 -87.631385,41.794193,0.0 -87.631565,41.79419,0.0 -87.631661,41.794188,0.0 -87.631785,41.794186,0.0 -87.631825,41.794185,0.0 -87.631977,41.794182,0.0 -87.632263,41.794177,0.0 -87.632397,41.794176,0.0 -87.632752,41.794172,0.0 -87.632995,41.79417,0.0</coordinates></LineString><LineString><coordinates>-87.629572,41.794591,0.0 -87.629727,41.79459,0.0 -87.63021,41.794589,0.0 -87.630394,41.794585,0.0 -87.630495,41.794574,0.0 -87.630519,41.794571,0.0 -87.630543,41.794568,0.0 -87.630642,41.794557,0.0 -87.630678,41.794556,0.0 -87.630774,41.794554,0.0 -87.630972,41.794549,0.0 -87.631171,41.794544,0.0 -87.631403,41.794543,0.0 -87.631574,41.794542,0.0 -87.631669,41.794541,0.0 -87.631787,41.794541,0.0 -87.632146,41.794539,0.0 -87.632349,41.794536,0.0 -87.632689,41.79453,0.0 -87.633004,41.794522,0.0</coordinates></LineString><LineString><coordinates>-87.633189,41.801818,0.0 -87.633185,41.801679,0.0 -87.633174,41.801293,0.0 -87.633167,41.801028,0.0 -87.633163,41.800909,0.0 -87.633158,41.800747,0.0 -87.633153,41.800437,0.0 -87.633143,41.800003,0.0 -87.633134,41.799575,0.0 -87.63313,41.799389,0.0 -87.633122,41.799091,0.0 -87.633111,41.798668,0.0 -87.633109,41.798593,0.0 -87.633102,41.798321,0.0 -87.633099,41.79818,0.0 -87.633095,41.797979,0.0 -87.633081,41.797474,0.0 -87.633067,41.797003,0.0 -87.633053,41.796479,0.0 -87.633049,41.796249,0.0 -87.63304,41.795807,0.0 -87.633034,41.795561,0.0 -87.633023,41.795173,0.0 -87.633021,41.795098,0.0 -87.633009,41.794657,0.0 -87.633004,41.794522,0.0</coordinates></LineString></MultiGeometry>"
610368,"HUGHES, L",5,"<MultiGeometry><LineString><coordinates>-87.630708,41.707082,0.0 -87.630692,41.706824,0.0 -87.630686,41.706625,0.0 -87.630681,41.706441,0.0 -87.630675,41.70617,0.0 -87.630672,41.706021,0.0 -87.630664,41.705715,0.0 -87.630664,41.705712,0.0 -87.630651,41.705258,0.0</coordinates></LineString><LineString><coordinates>-87.63081,41.710731,0.0 -87.630803,41.710525,0.0 -87.630796,41.710248,0.0 -87.630791,41.710068,0.0 -87.630788,41.709941,0.0 -87.630785,41.70982,0.0 -87.63078,41.709623,0.0 -87.630776,41.709464,0.0 -87.630768,41.709175,0.0 -87.630761,41.708914,0.0 -87.630753,41.708603,0.0 -87.630741,41.708139,0.0 -87.630739,41.708005,0.0 -87.630736,41.707868,0.0 -87.630728,41.707552,0.0 -87.630723,41.707341,0.0 -87.630708,41.707082,0.0</coordinates></LineString><LineString><coordinates>-87.623528,41.707173,0.0 -87.623941,41.707167,0.0 -87.624427,41.707159,0.0 -87.624737,41.707155,0.0 -87.625113,41.70715,0.0 -87.62561,41.707145,0.0 -87.625925,41.707141,0.0 -87.626062,41.707139,0.0 -87.626279,41.707136,0.0 -87.627124,41.707126,0.0 -87.627327,41.707124,0.0 -87.628019,41.707112,0.0 -87.628277,41.707109,0.0 -87.628302,41.707109,0.0 -87.628327,41.707109,0.0 -87.629189,41.707101,0.0 -87.629518,41.707097,0.0 -87.630488,41.707085,0.0 -87.630708,41.707082,0.0</coordinates></LineString></MultiGeometry>"
610004,CULLEN,6,"<MultiGeometry><LineString><coordinates>-87.613626,41.701846,0.0 -87.614016,41.70184,0.0 -87.614245,41.701837,0.0 -87.614451,41.701834,0.0 -87.614842,41.701828,0.0 -87.615204,41.701823,0.0 -87.615452,41.70182,0.0 -87.615823,41.701815,0.0 -87.616062,41.701811,0.0 -87.616411,41.701805,0.0 -87.616513,41.701804,0.0 -87.61667,41.701801,0.0 -87.617008,41.701796,0.0 -87.617279,41.701793,0.0 -87.617476,41.701791,0.0 -87.617888,41.701784,0.0 -87.618499,41.701775,0.0</coordinates></LineString><LineString><coordinates>-87.613676,41.703671,0.0 -87.613669,41.703438,0.0 -87.613649,41.70274,0.0 -87.613643,41.702497,0.0 -87.613638,41.702323,0.0 -87.61363,41.701983,0.0 -87.613626,41.701846,0.0</coordinates></LineString><LineString><coordinates>-87.611133,41.700053,0.0 -87.611355,41.70005,0.0 -87.61194,41.700041,0.0 -87.612355,41.700035,0.0 -87.612723,41.70003,0.0 -87.613238,41.700023,0.0 -87.613578,41.700019,0.0 -87.613585,41.700263,0.0 -87.613589,41.700475,0.0 -87.613592,41.700628,0.0 -87.613608,41.701161,0.0 -87.613618,41.701563,0.0 -87.613626,41.701846,0.0</coordinates></LineString></MultiGeometry>"
610208,LAVIZZO,7,"<MultiGeometry><LineString><coordinates>-87.627999,41.696178,0.0 -87.627995,41.696037,0.0 -87.627987,41.695732,0.0 -87.627987,41.695725,0.0 -87.627984,41.695638,0.0 -87.627977,41.695394,0.0 -87.627975,41.695268,0.0 -87.627971,41.695093,0.0 -87.627968,41.694977,0.0 -87.627964,41.694849,0.0 -87.627963,41.694814,0.0 -87.62796,41.694688,0.0 -87.627958,41.694527,0.0 -87.627952,41.694356,0.0 -87.627947,41.694188,0.0 -87.627942,41.69402,0.0 -87.62794,41.693903,0.0 -87.627937,41.693784,0.0 -87.627931,41.693572,0.0 -87.627929,41.693446,0.0 -87.627927,41.693358,0.0 -87.627925,41.693221,0.0 -87.627921,41.69308,0.0 -87.627919,41.693,0.0 -87.627917,41.692901,0.0 -87.627911,41.692689,0.0 -87.627913,41.692534,0.0</coordinates></LineString><LineString><coordinates>-87.620935,41.699913,0.0 -87.620932,41.699692,0.0 -87.620925,41.699461,0.0 -87.620921,41.699323,0.0 -87.620903,41.698789,0.0 -87.620888,41.698298,0.0 -87.62088,41.69809,0.0 -87.620869,41.69779,0.0 -87.620851,41.697205,0.0 -87.620826,41.696553,0.0 -87.620812,41.696267,0.0 -87.621098,41.696265,0.0 -87.621434,41.696259,0.0 -87.621657,41.696256,0.0 -87.622028,41.696251,0.0 -87.622235,41.696249,0.0 -87.622621,41.696244,0.0 -87.62288,41.69624,0.0 -87.623215,41.696236,0.0 -87.623669,41.696231,0.0 -87.623811,41.696229,0.0 -87.624037,41.696226,0.0 -87.62474,41.696218,0.0 -87.625352,41.69621,0.0 -87.625607,41.696207,0.0 -87.62573,41.696206,0.0 -87.625951,41.696204,0.0 -87.626842,41.696192,0.0 -87.627404,41.696184,0.0 -87.627627,41.696181,0.0 -87.627999,41.696178,0.0</coordinates></LineString><LineString><coordinates>-87.628094,41.699822,0.0 -87.628087,41.699601,0.0 -87.628076,41.699205,0.0 -87.628069,41.69891,0.0 -87.628062,41.698623,0.0 -87.628052,41.698204,0.0 -87.628046,41.698,0.0 -87.628042,41.697836,0.0 -87.628024,41.697235,0.0 -87.628021,41.697091,0.0 -87.628016,41.696848,0.0 -87.628004,41.696403,0.0 -87.627999,41.696178,0.0</coordinates></LineString></MultiGeometry>"
609955,GRESHAM,8,"<MultiGeometry><LineString><coordinates>-87.646159,41.739676,0.0 -87.645846,41.739679,0.0 -87.645554,41.739683,0.0 -87.645548,41.739683,0.0 -87.645176,41.739687,0.0 -87.644943,41.73969,0.0 -87.644939,41.739574,0.0 -87.644933,41.739372,0.0 -87.644928,41.739182,0.0 -87.644922,41.73897,0.0 -87.644916,41.738746,0.0 -87.64491,41.73851,0.0 -87.644902,41.738253,0.0 -87.644897,41.738063,0.0 -87.644892,41.737875,0.0 -87.64509,41.737873,0.0 -87.645358,41.73787,0.0 -87.645512,41.737868,0.0 -87.645612,41.737867,0.0 -87.645821,41.737865,0.0 -87.646106,41.737861,0.0 -87.646284,41.737859,0.0 -87.646567,41.737856,0.0 -87.646718,41.737854,0.0 -87.646897,41.737852,0.0 -87.647322,41.737847,0.0 -87.647509,41.737845,0.0 -87.647853,41.737841,0.0 -87.647931,41.73784,0.0 -87.648121,41.737838,0.0 -87.648537,41.737831,0.0</coordinates></LineString><LineString><coordinates>-87.646159,41.739676,0.0 -87.646504,41.739673,0.0 -87.646768,41.739669,0.0 -87.646832,41.739669,0.0 -87.647131,41.739665,0.0 -87.647375,41.739662,0.0 -87.647564,41.739659,0.0 -87.647877,41.739655,0.0 -87.647985,41.739654,0.0 -87.648116,41.739652,0.0 -87.648339,41.73965,0.0 -87.648589,41.739648,0.0 -87.648591,41.739742,0.0 -87.648595,41.739887,0.0 -87.648601,41.740088,0.0 -87.648607,41.74029,0.0 -87.648614,41.740513,0.0 -87.648621,41.740771,0.0 -87.648626,41.740939,0.0 -87.648633,41.741163,0.0 -87.648638,41.741341,0.0 -87.648642,41.741472,0.0 -87.648351,41.741476,0.0 -87.648074,41.741479,0.0 -87.647693,41.741484,0.0 -87.647451,41.741487,0.0 -87.647127,41.741491,0.0 -87.646867,41.741495,0.0 -87.646641,41.741498,0.0 -87.646533,41.741499,0.0 -87.646453,41.7415,0.0 -87.646326,41.741502,0.0 -87.646238,41.741503,0.0 -87.64621,41.741461,0.0 -87.646203,41.741203,0.0 -87.646196,41.74097,0.0 -87.64619,41.740745,0.0 -87.646184,41.740532,0.0 -87.646178,41.740331,0.0 -87.646172,41.740119,0.0 -87.646167,41.739929,0.0 -87.646163,41.739783,0.0 -87.646159,41.739676,0.0</coordinates></LineString></MultiGeometry>"
610051,NORTHWEST,9,"<MultiGeometry><LineString><coordinates>-87.765996,41.923989,0.0 -87.76625,41.923986,0.0 -87.766772,41.923978,0.0 -87.767212,41.92397,0.0 -87.767538,41.923964,0.0 -87.767957,41.923958,0.0 -87.768427,41.92395,0.0 -87.768724,41.923945,0.0 -87.769367,41.923937,0.0 -87.769644,41.923933,0.0 -87.769985,41.923928,0.0 -87.770203,41.923924,0.0 -87.770456,41.92392,0.0 -87.77086,41.923913,0.0 -87.770958,41.923912,0.0 -87.771322,41.923905,0.0 -87.771889,41.923896,0.0 -87.772075,41.923893,0.0 -87.772359,41.923889,0.0 -87.772828,41.923881,0.0 -87.773291,41.923874,0.0 -87.773595,41.923869,0.0 -87.77414,41.92386,0.0 -87.774507,41.923854,0.0</coordinates></LineString><LineString><coordinates>-87.765861,41.920422,0.0 -87.765872,41.920709,0.0 -87.765879,41.920904,0.0 -87.765892,41.92121,0.0 -87.765904,41.921517,0.0 -87.765917,41.921889,0.0 -87.765928,41.922168,0.0 -87.765932,41.922261,0.0 -87.765943,41.922552,0.0 -87.765955,41.922893,0.0 -87.765963,41.923097,0.0 -87.765971,41.923282,0.0 -87.765979,41.923532,0.0 -87.76599,41.923838,0.0 -87.765996,41.923989,0.0</coordinates></LineString><LineString><coordinates>-87.757274,41.920449,0.0 -87.757721,41.920445,0.0 -87.758182,41.920437,0.0 -87.758501,41.920433,0.0 -87.758514,41.920858,0.0 -87.758526,41.921237,0.0 -87.758537,41.921614,0.0 -87.75855,41.922025,0.0 -87.758556,41.922257,0.0 -87.758568,41.922661,0.0 -87.758573,41.922832,0.0 -87.758573,41.922856,0.0 -87.758577,41.922985,0.0 -87.75858,41.923113,0.0 -87.758588,41.923354,0.0 -87.758598,41.923628,0.0 -87.758603,41.923782,0.0 -87.758613,41.924083,0.0 -87.759145,41.924077,0.0 -87.759225,41.924076,0.0 -87.75964,41.92407,0.0 -87.759842,41.924067,0.0 -87.76021,41.924063,0.0 -87.760457,41.924059,0.0 -87.760459,41.924059,0.0 -87.760777,41.924057,0.0 -87.761015,41.924053,0.0 -87.761074,41.924053,0.0 -87.76132,41.924049,0.0 -87.761725,41.924042,0.0 -87.762302,41.924035,0.0 -87.76242,41.924033,0.0 -87.762861,41.924028,0.0 -87.763534,41.92402,0.0 -87.7638,41.924016,0.0 -87.764173,41.924013,0.0 -87.764768,41.924005,0.0 -87.765184,41.924,0.0 -87.765781,41.923991,0.0 -87.765996,41.923989,0.0</coordinates></LineString></MultiGeometry>"
610321,"MARSHALL, T",10,"<LineString><coordinates>-87.719092,41.953738,0.0 -87.720264,41.953761,0.0 -87.720253,41.95326,0.0 -87.720221,41.952173,0.0 -87.720214,41.951943,0.0 -87.720402,41.95194,0.0 -87.720825,41.951934,0.0 -87.72083,41.951934,0.0 -87.721128,41.951931,0.0 -87.721439,41.951926,0.0 -87.72161,41.951923,0.0 -87.721925,41.951919,0.0 -87.722051,41.951918,0.0 -87.722315,41.951914,0.0 -87.722663,41.951909,0.0 -87.722928,41.951905,0.0 -87.723281,41.951901,0.0 -87.723464,41.951899,0.0 -87.723703,41.951896,0.0 -87.723896,41.951893,0.0 -87.724004,41.951892,0.0 -87.724337,41.951888,0.0 -87.72451,41.951884,0.0 -87.724541,41.951884,0.0 -87.724782,41.951879,0.0 -87.72509,41.951877,0.0 -87.725283,41.951875,0.0 -87.725486,41.951872,0.0 -87.726137,41.951863,0.0 -87.726343,41.95186,0.0</coordinates></LineString>"
