ID,Uniqueid,Lat,Long,School,Address,City,Zip,Phone,Grades,BoundaryGrades,GradesLong,Type,Typenum,Classification,Boundary,Marker,Polygon,ProgramType,Rating,Count,Growth,Attainment,Culture,Mobility,Dress,ADA,Reading,Math,ACT,Graduation,College
400009,1,41.807579,-87.740097,GLOBAL CITIZENSHIP,4647 W 47TH ST,"Chicago, IL",60632,(773)582-1100,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,457,Average,Average,Organized,4.3,Y,Fully Accessible,49th,42nd,,,
400010,2,41.796122,-87.625849,ACE TECH HS,5410 S STATE ST,"Chicago, IL",60609,(773)548-8705,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 2,370,Below Average,Below Average,Well Organized,27.3,Y,Generally accessible,,,15.2,68.8,56.3
400011,3,41.877248,-87.705235,LOCKE A,3141 W JACKSON BLVD,"Chicago, IL",60612,(773)265-7232,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Inability to Rate,546,No Data Available,No Data Available,Not Enough Data,4.7,Y,Generally accessible,,,,,
400013,4,41.937298,-87.727096,ASPIRA - EARLY COLLEGE HS,3986 W BARRY AVE,"Chicago, IL",60618,(773)252-0970,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,420,Below Average,Below Average,Well Organized,,Y,Fully Accessible,,,14.9,67.9,29.5
400017,5,41.966406,-87.721825,ASPIRA - HAUGAN,3729 W LELAND AVE,"Chicago, IL",60625,(773)252-0970,6-8,6-8,"6,7,8",Middle School Charter,2,Charter,Charter-Attendance Area School,orange_c,,,Level 2+,534,Below Average,Average,Organized,,Y,Fully Accessible,49th,48th,,,
400021,6,41.882322,-87.765322,CATALYST - CIRCLE ROCK,5608 W WASHINGTON BLVD,"Chicago, IL",60644,(773)945-5025,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,523,Above Average,Below Average,Organized,5.1,Y,Fully Accessible,39th,34th,,,
400022,7,41.899377,-87.694945,CHICAGO ARTS HS,2714 W AUGUSTA BLVD,"Chicago, IL",60622,(773)534-9710,9-12,,"9,10,11,12",High School,3,Contract,Citywide,red_circle,,,Level 1+,603,Average,Average,Well Organized,4.2,N,Generally accessible,,,19.4,81.1,79.6
400023,8,41.743179,-87.587928,CICS - AVALON/SOUTH SHORE,1501 E 83RD PL,"Chicago, IL",60619,(773)721-0858,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1+,493,Far Above Average,Far Above Average,Moderately Organized,,Y,Generally accessible,91st,85th,,,
400024,9,41.794043,-87.670243,CICS - BASIL,1816 W GARFIELD BLVD,"Chicago, IL",60609,(773)778-9455,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2,737,Average,Average,Partially Organized,,Y,Fully Accessible,49th,62nd,,,
400025,10,41.922415,-87.681358,CICS - BUCKTOWN,2235 N HAMILTON AVE,"Chicago, IL",60647,(773)645-3321,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2+,701,Average,Above Average,Well Organized,,Y,No/unknown accessibility,71st,53rd,,,
400026,11,41.720246,-87.657561,CICS - LOOMIS,9535 S LOOMIS ST,"Chicago, IL",60643,(773)429-8955,K-2,,"K,1,2",Elementary Charter,1,Charter,Citywide,blue_c,,,Inability to Rate,547,No Data Available,Far Above Average,Partially Organized,,Y,Generally accessible,99th,99th,,,
400027,12,41.950891,-87.710492,CICS - IRVING PARK,3820 N SPAULDING AVE,"Chicago, IL",60618,(773)433-5000,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,556,Above Average,Above Average,Well Organized,,Y,Fully Accessible,84th,81st,,,
400028,13,41.684433,-87.616888,CICS - PRAIRIE,11530 S PRAIRIE AVE,"Chicago, IL",60628,(773)928-0480,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2+,419,Average,Average,Partially Organized,,Y,No/unknown accessibility,41st,34th,,,
400029,14,41.784126,-87.621261,CICS - WASHINGTON PARK,110 E 61ST ST,"Chicago, IL",60637,(773)347-0200,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2,474,Below Average,Average,Organized,,Y,No/unknown accessibility,49th,33rd,,,
400030,15,41.921687,-87.776749,CICS - WEST BELDEN,2245 N MCVICKER AVE,"Chicago, IL",60639,(773)637-9430,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1+,531,Above Average,Above Average,Well Organized,,Y,No/unknown accessibility,89th,75th,,,
400031,16,41.745365,-87.692614,CICS - WRIGHTWOOD,8130 S CALIFORNIA AVE,"Chicago, IL",60652,(773)434-4575,K-8,K-8,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Charter-Attendance Area School,blue_c,,,Level 2+,785,Average,Average,Not Yet Organized,,Y,Generally accessible,69th,69th,,,
400032,17,41.748382,-87.66898,CICS - ELLISON HS,1817 W 80TH ST,"Chicago, IL",60620,(773)478-4434,9-12,9-12,"9,10,11,12",High School Charter,3,Charter,Charter-Attendance Area School,red_c,,,Level 2+,432,Average,Below Average,Well Organized,,Y,Generally accessible,,,16.3,78.6,64.3
400033,18,41.721221,-87.655768,CICS - LONGWOOD,1309 W 95TH ST,"Chicago, IL",60643,(773)238-5330,3-12,,"3,4,5,6,7,8,9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 2,1343,Average,Below Average,Partially Organized,,Y,No/unknown accessibility,49th,32nd,15.4,82.6,64.9
400034,19,41.990245,-87.726504,CICS - NORTHTOWN HS,3900 W PETERSON AVE,"Chicago, IL",60659,(773)478-3655,9-12,9-12,"9,10,11,12",High School Charter,3,Charter,Charter-Attendance Area School,red_c,,,Level 1+,899,Far Above Average,Average,Well Organized,,Y,Generally accessible,,,19.4,83.3,76.6
400035,20,42.013031,-87.674818,CHICAGO MATH & SCIENCE HS,7212 N CLARK ST,"Chicago, IL",60626,(773)761-8960,6-12,,"6,7,8,9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1+,597,Far Above Average,Average,Well Organized,9.5,Y,Fully Accessible,55th,71st,20.8,85.2,72
400036,21,41.88055,-87.649772,CHICAGO VIRTUAL,38 S PEORIA ST,"Chicago, IL",60607,(312)267-4486,K-12,,"K,1,2,3,4,5,6,7,8,9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,651,No Data Available,Average,Organized,24.3,N,Fully Accessible,69th,41st,18.8,50,68
400039,23,41.906771,-87.694364,ERIE,1405 N WASHTENAW AVE,"Chicago, IL",60622,(773)486-7161,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2+,420,Average,Average,Not Yet Organized,2.4,Y,Generally accessible,41st,28th,,,
400040,24,41.862077,-87.717642,FRAZIER CHARTER,3711 W DOUGLAS BLVD,"Chicago, IL",60624,(773)521-1303,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2+,427,Average,Below Average,Not Enough Data,2.4,Y,Fully Accessible,25th,18th,,,
400043,25,41.883362,-87.668077,HOPE INSTITUTE,1628 W WASHINGTON,"Chicago, IL",60612,(773)534-7405,K-5,,"K,1,2,3,4,5",Elementary School,1,Contract,Citywide,blue_circle,,,Level 2+,356,Average,Below Average,Well Organized,10.6,Y,Generally accessible,35th,30th,,,
400044,26,41.85837,-87.721071,KIPP - ASCEND,1616 S AVERS AVE,"Chicago, IL",60623,(773)521-4399,6-8,,"6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,881,Average,Below Average,Well Organized,6.4,Y,Generally accessible,37th,22nd,,,
400045,27,41.69804,-87.631058,NKRUMAH,314 W 108TH ST,"Chicago, IL",60628,(773)568-8000,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2+,210,Above Average,Average,Not Yet Organized,16.2,Y,Generally accessible,45th,20th,,,
