ID,School,ADDRESS,GradesLong,OverlayPolygon
400017,ASPIRA - HAUGAN,"3729 W Leland Ave,  Chicago, IL 60625","_6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.71836,41.968355,0.0 -87.728033,41.96825,0.0 -87.732974,41.968194,0.0 -87.732948,41.96709,0.0 -87.732668,41.967094,0.0 -87.733768,41.966215,0.0 -87.733326,41.965913,0.0 -87.735,41.964583,0.0 -87.729699,41.960935,0.0 -87.727834,41.960955,0.0 -87.727795,41.959622,0.0 -87.721874,41.955565,0.0 -87.721546,41.955568,0.0 -87.721601,41.957388,0.0 -87.720378,41.957404,0.0 -87.720433,41.959227,0.0 -87.719208,41.959243,0.0 -87.719263,41.961062,0.0 -87.716815,41.961091,0.0 -87.716871,41.962916,0.0 -87.710757,41.962993,0.0 -87.710838,41.965572,0.0 -87.71328,41.965549,0.0 -87.713369,41.968409,0.0 -87.71836,41.968355,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
400031,CICS - WRIGHTWOOD,"8130 S California Ave,  Chicago, IL 60652","_K, 1, 2, 3, 4, 5, 6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.672957,41.73557,0.0 -87.672956,41.735664,0.0 -87.672791,41.735662,0.0 -87.672969,41.742951,0.0 -87.67314,41.750239,0.0 -87.682853,41.750111,0.0 -87.682988,41.750046,0.0 -87.689955,41.749941,0.0 -87.696031,41.749798,0.0 -87.699746,41.749743,0.0 -87.703234,41.749745,0.0 -87.736588,41.74918,0.0 -87.737062,41.74918,0.0 -87.737158,41.749239,0.0 -87.741364,41.749155,0.0 -87.740938,41.736873,0.0 -87.740941,41.735815,0.0 -87.741073,41.734531,0.0 -87.727165,41.734742,0.0 -87.701476,41.735228,0.0 -87.681633,41.73555,0.0 -87.674862,41.735638,0.0 -87.672957,41.73557,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
400032,CICS - ELLISON HS,"1817 W 80th St  Chicago, IL 60620","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.666049,41.757036,0.0 -87.666044,41.757523,0.0 -87.680499,41.757355,0.0 -87.680501,41.757445,0.0 -87.683054,41.757414,0.0 -87.682853,41.750111,0.0 -87.682685,41.742824,0.0 -87.672969,41.742951,0.0 -87.665688,41.743048,0.0 -87.666049,41.757036,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
400034,CICS - NORTHTOWN HS,"3900 W Peterson Ave,  Chicago, IL 60659","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.736404,41.964508,0.0 -87.735766,41.964517,0.0 -87.735787,41.965123,0.0 -87.735,41.964583,0.0 -87.733326,41.965913,0.0 -87.733768,41.966215,0.0 -87.732668,41.967094,0.0 -87.732948,41.96709,0.0 -87.732974,41.968194,0.0 -87.728033,41.96825,0.0 -87.728239,41.97554,0.0 -87.704731,41.975782,0.0 -87.705428,41.978409,0.0 -87.705961,41.97993,0.0 -87.706518,41.981796,0.0 -87.70667,41.982133,0.0 -87.70703,41.983543,0.0 -87.707515,41.984961,0.0 -87.707513,41.985176,0.0 -87.707828,41.986036,0.0 -87.707882,41.986354,0.0 -87.707773,41.986411,0.0 -87.707776,41.986495,0.0 -87.707854,41.986479,0.0 -87.70795,41.986531,0.0 -87.708162,41.987047,0.0 -87.708476,41.988196,0.0 -87.708524,41.988431,0.0 -87.708486,41.9885,0.0 -87.708694,41.988904,0.0 -87.709007,41.990166,0.0 -87.709391,41.991413,0.0 -87.709522,41.991621,0.0 -87.709858,41.992818,0.0 -87.710171,41.99403,0.0 -87.710501,41.995736,0.0 -87.710677,41.997374,0.0 -87.716039,41.9973,0.0 -87.729038,41.997247,0.0 -87.752906,41.997309,0.0 -87.762276,42.001695,0.0 -87.761999,42.002497,0.0 -87.761891,42.003248,0.0 -87.76167,42.00828,0.0 -87.767468,42.00833,0.0 -87.767549,42.004713,0.0 -87.765473,42.003743,0.0 -87.765801,42.003333,0.0 -87.769204,42.004921,0.0 -87.769954,42.006383,0.0 -87.770365,42.006202,0.0 -87.773355,42.011966,0.0 -87.777059,42.01199,0.0 -87.776978,42.015393,0.0 -87.77911,42.01545,0.0 -87.779154,42.013573,0.0 -87.779272,42.012,0.0 -87.788729,42.012005,0.0 -87.783108,42.00543,0.0 -87.782242,42.004658,0.0 -87.78115,42.004037,0.0 -87.766699,41.99731,0.0 -87.770336,41.997148,0.0 -87.771705,41.997197,0.0 -87.773696,41.997374,0.0 -87.774895,41.997436,0.0 -87.779898,41.997423,0.0 -87.779858,41.996968,0.0 -87.77961,41.996771,0.0 -87.779129,41.996777,0.0 -87.778908,41.99683,0.0 -87.778742,41.996914,0.0 -87.778546,41.997111,0.0 -87.778343,41.997203,0.0 -87.777978,41.997187,0.0 -87.777533,41.997043,0.0 -87.777317,41.997031,0.0 -87.777182,41.997073,0.0 -87.776935,41.997287,0.0 -87.776761,41.997322,0.0 -87.776551,41.99728,0.0 -87.775978,41.996764,0.0 -87.775862,41.996725,0.0 -87.775288,41.996804,0.0 -87.774661,41.997026,0.0 -87.774214,41.997127,0.0 -87.772993,41.997075,0.0 -87.772405,41.99695,0.0 -87.771656,41.996659,0.0 -87.7714,41.99649,0.0 -87.771162,41.996106,0.0 -87.771059,41.995588,0.0 -87.771099,41.995332,0.0 -87.77128,41.994918,0.0 -87.771555,41.994539,0.0 -87.771907,41.994199,0.0 -87.772298,41.993948,0.0 -87.772719,41.993765,0.0 -87.773452,41.99359,0.0 -87.773636,41.993331,0.0 -87.773582,41.992922,0.0 -87.773374,41.992429,0.0 -87.77285,41.99185,0.0 -87.772383,41.991696,0.0 -87.770938,41.991554,0.0 -87.770808,41.991467,0.0 -87.770746,41.991304,0.0 -87.770828,41.990989,0.0 -87.771353,41.990859,0.0 -87.771459,41.990778,0.0 -87.771635,41.990351,0.0 -87.771636,41.990131,0.0 -87.771905,41.989642,0.0 -87.772003,41.989129,0.0 -87.772789,41.98733,0.0 -87.772549,41.984757,0.0 -87.772588,41.982932,0.0 -87.772512,41.9811,0.0 -87.772661,41.981061,0.0 -87.773216,41.981668,0.0 -87.773245,41.980002,0.0 -87.773033,41.979864,0.0 -87.771261,41.977915,0.0 -87.770059,41.977251,0.0 -87.770077,41.976111,0.0 -87.769324,41.975689,0.0 -87.768487,41.975691,0.0 -87.768554,41.971712,0.0 -87.767607,41.971456,0.0 -87.767566,41.970337,0.0 -87.762076,41.968844,0.0 -87.761465,41.968714,0.0 -87.757405,41.96401,0.0 -87.75684,41.964265,0.0 -87.736404,41.964508,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
400052,NOBLE - COMER HS,"7200 S Ingleside Ave,  Chicago, IL 60619","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.605774,41.773113,0.0 -87.605553,41.765108,0.0 -87.601781,41.762389,0.0 -87.601631,41.762391,0.0 -87.601331,41.762175,0.0 -87.601481,41.762173,0.0 -87.59584,41.758113,0.0 -87.594461,41.764183,0.0 -87.590951,41.764204,0.0 -87.591013,41.766537,0.0 -87.59177,41.767073,0.0 -87.592103,41.767386,0.0 -87.592375,41.767841,0.0 -87.592495,41.768363,0.0 -87.592542,41.769321,0.0 -87.591633,41.773288,0.0 -87.605774,41.773149,0.0 -87.605774,41.773113,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
400057,NOBLE - UIC HS,"1231 S Damen Ave,  Chicago, IL 60608","_9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.651953,41.875338,0.0 -87.657156,41.875577,0.0 -87.660212,41.875608,0.0 -87.669654,41.87544,0.0 -87.671521,41.87546,0.0 -87.680306,41.875341,0.0 -87.69614,41.875207,0.0 -87.69564,41.857396,0.0 -87.690719,41.857459,0.0 -87.689156,41.857419,0.0 -87.687838,41.857524,0.0 -87.686533,41.857537,0.0 -87.686018,41.85772,0.0 -87.685794,41.857246,0.0 -87.684379,41.857552,0.0 -87.68311,41.857588,0.0 -87.666367,41.857793,0.0 -87.648199,41.858069,0.0 -87.644407,41.858176,0.0 -87.6446,41.863975,0.0 -87.644755,41.86697,0.0 -87.644902,41.868611,0.0 -87.645261,41.871381,0.0 -87.645663,41.873715,0.0 -87.645599,41.875424,0.0 -87.651296,41.875302,0.0 -87.651953,41.875338,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
400075,U OF C - DONOGHUE,"707 E 37th St  Chicago, IL 60653","_PK ,K, 1, 2, 3, 4, 5","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.613507,41.805797,0.0 -87.612593,41.805811,0.0 -87.612634,41.807632,0.0 -87.611417,41.80765,0.0 -87.611459,41.80947,0.0 -87.606571,41.809541,0.0 -87.606879,41.823973,0.0 -87.605479,41.824337,0.0 -87.605078,41.824318,0.0 -87.604364,41.824179,0.0 -87.603984,41.824182,0.0 -87.603475,41.824302,0.0 -87.602554,41.824614,0.0 -87.601518,41.825044,0.0 -87.597565,41.825985,0.0 -87.597645,41.826181,0.0 -87.597954,41.826563,0.0 -87.599978,41.827938,0.0 -87.600302,41.828274,0.0 -87.601643,41.829983,0.0 -87.6024,41.830701,0.0 -87.6026,41.83103,0.0 -87.602709,41.831344,0.0 -87.608292,41.831217,0.0 -87.6074,41.830052,0.0 -87.608424,41.829611,0.0 -87.608758,41.829386,0.0 -87.609546,41.82914,0.0 -87.608831,41.82773,0.0 -87.609496,41.827541,0.0 -87.609852,41.827302,0.0 -87.610209,41.827231,0.0 -87.610564,41.827271,0.0 -87.610988,41.827457,0.0 -87.611632,41.827544,0.0 -87.61263,41.823899,0.0 -87.617003,41.823842,0.0 -87.616502,41.80575,0.0 -87.613507,41.805797,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
400077,U OF C - WOODLAWN HS,"6420 S University Ave Chicago, IL 60637","_6, 7, 8, 9, 10, 11, 12","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.572841,41.779289,0.0 -87.57322,41.779199,0.0 -87.573304,41.779086,0.0 -87.573385,41.778825,0.0 -87.573326,41.778423,0.0 -87.573366,41.778313,0.0 -87.573162,41.778012,0.0 -87.572787,41.777682,0.0 -87.572874,41.777635,0.0 -87.572632,41.777346,0.0 -87.572411,41.77744,0.0 -87.572042,41.777031,0.0 -87.571815,41.776603,0.0 -87.571851,41.776354,0.0 -87.572143,41.775899,0.0 -87.572339,41.775771,0.0 -87.57286,41.775624,0.0 -87.573562,41.775558,0.0 -87.574287,41.77561,0.0 -87.574909,41.775815,0.0 -87.57495,41.77604,0.0 -87.574665,41.776035,0.0 -87.574624,41.776179,0.0 -87.57514,41.776899,0.0 -87.575308,41.777416,0.0 -87.575285,41.777875,0.0 -87.575002,41.778731,0.0 -87.574688,41.778635,0.0 -87.574885,41.778715,0.0 -87.574949,41.77882,0.0 -87.574741,41.779119,0.0 -87.574444,41.779379,0.0 -87.574116,41.779536,0.0 -87.57296,41.779832,0.0 -87.572933,41.779903,0.0 -87.573085,41.780258,0.0 -87.571288,41.780847,0.0 -87.568311,41.781547,0.0 -87.567538,41.784604,0.0 -87.56765,41.78463,0.0 -87.568403,41.781616,0.0 -87.569155,41.781593,0.0 -87.570236,41.781714,0.0 -87.570966,41.781853,0.0 -87.571683,41.782038,0.0 -87.572368,41.782276,0.0 -87.573717,41.782857,0.0 -87.575342,41.783773,0.0 -87.576062,41.78423,0.0 -87.576588,41.784676,0.0 -87.577203,41.78632,0.0 -87.587324,41.786139,0.0 -87.595642,41.786064,0.0 -87.596935,41.785978,0.0 -87.608545,41.785837,0.0 -87.608488,41.784019,0.0 -87.607271,41.784041,0.0 -87.607029,41.773127,0.0 -87.605774,41.773149,0.0 -87.591633,41.773288,0.0 -87.566113,41.77358,0.0 -87.566077,41.773695,0.0 -87.566186,41.773845,0.0 -87.566344,41.773971,0.0 -87.566716,41.774137,0.0 -87.567062,41.774515,0.0 -87.568268,41.776083,0.0 -87.568744,41.776512,0.0 -87.569261,41.7769,0.0 -87.570111,41.777337,0.0 -87.571175,41.778151,0.0 -87.571703,41.77864,0.0 -87.572173,41.779262,0.0 -87.572442,41.779371,0.0 -87.572577,41.779372,0.0 -87.572841,41.779289,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
400078,U OF C - WOODSON,"4444 S Evans Ave  Chicago, IL 60653","_6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.613507,41.805797,0.0 -87.612593,41.805811,0.0 -87.612634,41.807632,0.0 -87.611417,41.80765,0.0 -87.611459,41.80947,0.0 -87.606571,41.809541,0.0 -87.606879,41.823973,0.0 -87.605479,41.824337,0.0 -87.605078,41.824318,0.0 -87.604364,41.824179,0.0 -87.603984,41.824182,0.0 -87.603475,41.824302,0.0 -87.602554,41.824614,0.0 -87.601518,41.825044,0.0 -87.597565,41.825985,0.0 -87.597645,41.826181,0.0 -87.597954,41.826563,0.0 -87.599978,41.827938,0.0 -87.600302,41.828274,0.0 -87.601643,41.829983,0.0 -87.6024,41.830701,0.0 -87.6026,41.83103,0.0 -87.602709,41.831344,0.0 -87.608292,41.831217,0.0 -87.6074,41.830052,0.0 -87.608424,41.829611,0.0 -87.608758,41.829386,0.0 -87.609546,41.82914,0.0 -87.608831,41.82773,0.0 -87.609496,41.827541,0.0 -87.609852,41.827302,0.0 -87.610209,41.827231,0.0 -87.610564,41.827271,0.0 -87.610988,41.827457,0.0 -87.611632,41.827544,0.0 -87.61263,41.823899,0.0 -87.617003,41.823842,0.0 -87.616502,41.80575,0.0 -87.613507,41.805797,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
400082,UNO - FUENTES,"2845 W Barry Ave,  Chicago, IL 60618","_K, 1, 2, 3, 4, 5, 6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.688472,41.954021,0.0 -87.709276,41.953919,0.0 -87.717819,41.953794,0.0 -87.719092,41.953738,0.0 -87.720264,41.953761,0.0 -87.747311,41.953426,0.0 -87.746875,41.938338,0.0 -87.7466,41.931541,0.0 -87.707841,41.93204,0.0 -87.687888,41.932187,0.0 -87.688472,41.954021,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
