ID,Middle School Boundary,Middle School Address,Boundary grades,geometry
609716,KELVYN PARK HS,"4343 W Wrightwood  Ave  Chicago, IL 60639","_7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.746977,41.942753,0.0 -87.74702,41.94431,0.0 -87.751957,41.944246,0.0 -87.751904,41.942421,0.0 -87.756812,41.942359,0.0 -87.756695,41.938708,0.0 -87.759143,41.938676,0.0 -87.759,41.935029,0.0 -87.758967,41.934114,0.0 -87.756527,41.934147,0.0 -87.756426,41.931407,0.0 -87.751511,41.931475,0.0 -87.751366,41.927854,0.0 -87.746451,41.927917,0.0 -87.746382,41.926238,0.0 -87.741914,41.926295,0.0 -87.741842,41.924308,0.0 -87.737792,41.924361,0.0 -87.737505,41.915221,0.0 -87.736281,41.915235,0.0 -87.736225,41.913325,0.0 -87.731331,41.913385,0.0 -87.731452,41.917112,0.0 -87.726565,41.917174,0.0 -87.726702,41.921889,0.0 -87.727081,41.922653,0.0 -87.726955,41.922652,0.0 -87.729709,41.927973,0.0 -87.729654,41.927974,0.0 -87.729772,41.9282,0.0 -87.729826,41.928199,0.0 -87.733591,41.93539,0.0 -87.741365,41.935261,0.0 -87.742179,41.93528,0.0 -87.742433,41.942542,0.0 -87.74697,41.942484,0.0 -87.746977,41.942753,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609779,ARMSTRONG G,"2110 W Greenleaf Ave  Chicago, IL 60645","_4, 5, 6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.67579,42.012624,0.0 -87.675817,42.013753,0.0 -87.680287,42.01366,0.0 -87.683092,42.012331,0.0 -87.681936,42.009063,0.0 -87.680176,42.005214,0.0 -87.675233,42.00531,0.0 -87.675412,42.011402,0.0 -87.675765,42.011396,0.0 -87.67579,42.012624,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609812,BROWN W,"54 N Hermitage Ave  Chicago, IL 60612","_7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.637476,41.876806,0.0 -87.637665,41.877316,0.0 -87.637776,41.878118,0.0 -87.638102,41.879081,0.0 -87.638295,41.880698,0.0 -87.638145,41.8832,0.0 -87.637923,41.884304,0.0 -87.637739,41.88573,0.0 -87.644249,41.885704,0.0 -87.64434,41.889041,0.0 -87.645355,41.889029,0.0 -87.645794,41.889082,0.0 -87.658837,41.888931,0.0 -87.658926,41.888958,0.0 -87.660486,41.888919,0.0 -87.660682,41.888869,0.0 -87.660851,41.888912,0.0 -87.667074,41.88886,0.0 -87.666985,41.885411,0.0 -87.666913,41.88513,0.0 -87.666642,41.875498,0.0 -87.660814,41.875601,0.0 -87.65835,41.875603,0.0 -87.655856,41.87554,0.0 -87.651296,41.875302,0.0 -87.636649,41.87557,0.0 -87.637072,41.876041,0.0 -87.637476,41.876806,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609826,CASTELLANOS,"2524 S Central Park Ave  Chicago, IL 60623","_4, 5, 6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.724764,41.851554,0.0 -87.724658,41.847918,0.0 -87.719782,41.847992,0.0 -87.719734,41.846173,0.0 -87.716066,41.846212,0.0 -87.716016,41.844375,0.0 -87.711137,41.844442,0.0 -87.708694,41.844475,0.0 -87.70891,41.851731,0.0 -87.710577,41.851706,0.0 -87.710895,41.851653,0.0 -87.711139,41.851908,0.0 -87.711149,41.851999,0.0 -87.712568,41.851698,0.0 -87.724764,41.851554,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609833,CALDWELL,"8546 S Cregier  Chicago, IL 60617","_6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.585139,41.733344,0.0 -87.585381,41.744213,0.0 -87.590456,41.74415,0.0 -87.590281,41.73686,0.0 -87.595587,41.736787,0.0 -87.586886,41.72293,0.0 -87.585147,41.722956,0.0 -87.585164,41.724132,0.0 -87.585007,41.724294,0.0 -87.584959,41.725145,0.0 -87.585139,41.733344,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609883,DENEEN,"7240 S Wabash Ave  Chicago, IL 60619","_7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.617976,41.773106,0.0 -87.619298,41.774117,0.0 -87.619267,41.774215,0.0 -87.620837,41.775383,0.0 -87.622082,41.775827,0.0 -87.622579,41.776204,0.0 -87.624102,41.777102,0.0 -87.62509,41.777613,0.0 -87.628861,41.780006,0.0 -87.630752,41.779986,0.0 -87.630718,41.779373,0.0 -87.63061,41.778879,0.0 -87.630338,41.778239,0.0 -87.630081,41.777848,0.0 -87.630059,41.777039,0.0 -87.628727,41.775887,0.0 -87.62843,41.775682,0.0 -87.628269,41.769108,0.0 -87.624948,41.769202,0.0 -87.624918,41.767341,0.0 -87.618529,41.767477,0.0 -87.618579,41.769288,0.0 -87.615361,41.769347,0.0 -87.615411,41.771193,0.0 -87.617976,41.773106,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609887,DIXON,"8306 S Saint Lawrence Ave  Chicago, IL 60619","_7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.605039,41.743978,0.0 -87.60522,41.751294,0.0 -87.608877,41.751229,0.0 -87.608676,41.743918,0.0 -87.60745,41.743934,0.0 -87.607106,41.743064,0.0 -87.607326,41.742786,0.0 -87.607374,41.74207,0.0 -87.61468,41.741992,0.0 -87.614345,41.729206,0.0 -87.604653,41.729363,0.0 -87.605039,41.743978,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609918,FIELD,"7019 N Ashland Ave  Chicago, IL 60626","_4, 5, 6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.661705,42.013981,0.0 -87.674831,42.013765,0.0 -87.674644,42.012643,0.0 -87.67579,42.012624,0.0 -87.675765,42.011396,0.0 -87.675412,42.011402,0.0 -87.675233,42.00531,0.0 -87.673105,42.00534,0.0 -87.673402,42.006567,0.0 -87.655778,42.006869,0.0 -87.656532,42.007594,0.0 -87.657654,42.009141,0.0 -87.658419,42.009933,0.0 -87.658362,42.009969,0.0 -87.658685,42.010125,0.0 -87.658898,42.01039,0.0 -87.659512,42.010912,0.0 -87.65971,42.011175,0.0 -87.66068,42.012059,0.0 -87.660792,42.01229,0.0 -87.660891,42.012262,0.0 -87.661077,42.012616,0.0 -87.66109,42.012772,0.0 -87.660944,42.012792,0.0 -87.661161,42.01279,0.0 -87.661363,42.013256,0.0 -87.661348,42.013472,0.0 -87.661433,42.01347,0.0 -87.661586,42.013922,0.0 -87.661626,42.013984,0.0 -87.661705,42.013981,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609928,FULLER,"4214 S Saint Lawrence Ave  Chicago, IL 60653","_4, 5, 6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.597668,41.824206,0.0 -87.597703,41.824574,0.0 -87.597489,41.825508,0.0 -87.597565,41.825985,0.0 -87.601518,41.825044,0.0 -87.602554,41.824614,0.0 -87.603475,41.824302,0.0 -87.603984,41.824182,0.0 -87.604364,41.824179,0.0 -87.605078,41.824318,0.0 -87.605479,41.824337,0.0 -87.606879,41.823973,0.0 -87.606147,41.822867,0.0 -87.605912,41.822398,0.0 -87.604427,41.820038,0.0 -87.604069,41.816853,0.0 -87.596889,41.816936,0.0 -87.592159,41.816937,0.0 -87.592197,41.817689,0.0 -87.592621,41.81835,0.0 -87.592962,41.818582,0.0 -87.593424,41.818776,0.0 -87.593707,41.819047,0.0 -87.594333,41.819441,0.0 -87.594711,41.819784,0.0 -87.594906,41.820059,0.0 -87.594133,41.821486,0.0 -87.59426,41.821509,0.0 -87.594436,41.821174,0.0 -87.594502,41.821189,0.0 -87.595096,41.821454,0.0 -87.595494,41.821756,0.0 -87.595992,41.822046,0.0 -87.596801,41.82239,0.0 -87.596989,41.822641,0.0 -87.597081,41.82296,0.0 -87.597319,41.82339,0.0 -87.596749,41.823573,0.0 -87.59671,41.823626,0.0 -87.596772,41.823673,0.0 -87.597371,41.823462,0.0 -87.597668,41.824206,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
609938,GARY,"3740 W 31st St  Chicago, IL 60623","_3, 4, 5, 6, 7, 8","<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.71099,41.839115,0.0 -87.711137,41.844442,0.0 -87.716016,41.844375,0.0 -87.715965,41.842542,0.0 -87.723287,41.842434,0.0 -87.723185,41.838752,0.0 -87.724406,41.838731,0.0 -87.724121,41.825613,0.0 -87.721653,41.82628,0.0 -87.714447,41.828614,0.0 -87.704675,41.831648,0.0 -87.704829,41.837241,0.0 -87.70972,41.837153,0.0 -87.709765,41.838979,0.0 -87.710986,41.838959,0.0 -87.71099,41.839115,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
